9,6,3,6,6,1,10,3,9,2
9,6,5,5,6,1,1,8,2,9
10,1,5,5,3,3,1,2,2,9
10,1,5,5,3,3,1,8,2,9
10,1,5,5,9,3,1,2,2,9
10,1,5,5,3,3,1,8,2,9
9,6,3,6,6,1,10,3,9,2
10,7,3,6,8,3,6,3,9,1
10,1,5,5,9,3,1,2,2,9
9,6,5,5,6,1,1,2,2,9
9,6,3,6,6,1,6,3,9,1
9,6,5,5,6,3,1,2,2,9
10,1,5,5,9,3,1,2,2,9
9,6,3,6,6,1,6,3,9,1
9,6,5,5,6,1,1,8,2,9
9,7,3,6,8,1,6,3,9,1
9,7,3,6,8,1,6,3,9,1
9,7,3,6,3,1,6,3,9,1
9,6,3,6,6,1,10,3,9,2
10,1,5,5,9,3,1,2,2,9
10,1,5,5,9,3,1,2,2,9
9,7,3,6,8,1,10,3,9,2
10,1,5,5,9,3,1,2,2,9
9,7,3,6,8,1,10,3,9,2
9,6,5,5,6,3,6,2,2,1
5,3,8,10,10,2,5,4,10,4
5,4,8,4,5,5,9,5,8,6
5,4,6,2,5,9,9,5,8,6
5,3,8,10,10,5,5,4,8,4
5,3,8,4,7,5,9,4,8,5
4,3,7,4,7,2,9,4,10,6
5,4,8,10,5,5,5,5,8,6
4,4,7,4,5,10,9,5,8,6
4,3,7,4,7,10,9,4,8,5
4,3,7,10,10,2,5,4,10,4
5,3,8,10,10,2,5,4,10,4
4,3,7,10,10,2,5,4,10,4
5,3,8,10,10,2,5,4,10,4
4,3,8,10,10,2,5,4,10,4
10,7,7,6,8,10,10,3,9,2
5,3,8,4,7,5,9,4,8,5
5,4,7,4,5,10,9,5,8,6
4,3,7,4,7,10,9,4,8,5
4,3,8,10,10,2,5,4,8,4
5,4,8,4,5,5,9,5,8,6
5,3,8,4,7,5,9,4,8,5
5,3,8,4,7,5,9,4,8,5
4,4,7,4,7,10,9,4,10,6
4,4,7,4,5,10,9,5,8,6
4,4,7,4,5,10,9,5,8,5
2,9,4,8,4,8,2,6,7,7
6,9,1,8,1,4,7,7,6,8
6,9,6,2,1,9,7,7,6,8
2,9,4,8,4,8,2,6,7,8
2,9,4,8,4,8,2,6,7,8
2,9,4,8,1,8,2,6,7,7
2,9,6,2,1,9,8,10,1,8
2,9,4,8,1,6,2,6,7,7
2,9,4,8,1,6,8,10,1,7
2,9,6,2,1,6,8,10,1,8
6,9,1,8,4,8,2,6,7,8
2,9,6,2,4,9,2,6,7,8
2,9,4,8,4,8,2,6,7,7
2,9,6,2,1,9,8,10,1,8
2,9,4,8,1,6,8,10,1,8
6,9,1,8,1,4,7,7,6,8
2,9,4,8,1,8,2,6,7,8
6,9,1,8,4,4,7,7,6,7
2,9,1,8,1,6,8,10,1,8
2,9,4,8,1,8,2,6,7,7
2,9,4,8,4,8,2,6,7,7
10,4,6,2,3,9,8,8,1,6
6,9,1,8,4,4,7,7,6,8
2,9,1,8,1,6,8,10,1,7
6,9,1,8,1,4,7,7,6,8
7,8,9,3,2,7,4,9,3,3
8,5,9,1,2,7,3,1,3,3
3,10,2,3,2,7,4,9,5,10
1,2,10,7,2,7,3,1,4,10
3,10,2,3,2,7,4,9,5,10
1,2,10,9,9,3,3,1,4,1
3,10,2,3,2,7,4,9,5,10
8,5,9,1,2,7,4,9,3,3
7,8,2,7,2,7,4,9,5,10
1,2,10,9,2,7,3,1,4,10
1,2,10,1,2,7,3,1,4,10
3,10,2,3,2,7,4,9,5,10
7,8,2,3,2,7,4,9,5,10
1,2,10,9,2,7,3,1,4,10
8,5,9,1,2,7,3,1,3,3
8,5,9,3,2,7,4,9,3,3
1,2,10,9,2,7,3,1,4,10
7,8,9,7,2,7,4,9,3,3
1,2,10,1,2,7,3,1,4,3
8,5,9,9,2,7,3,1,3,3
1,2,10,9,2,7,3,1,4,10
7,8,2,7,2,7,4,9,5,10
1,2,10,1,2,7,3,1,4,3
8,5,9,1,2,7,3,1,3,3
1,2,10,1,2,7,3,1,4,10
